threshold,min_area,dice,iou,precision,recall,specificity,tp,fp,fn,tn
0.5,0,0.17069305746989827,0.09331023323966182,0.11786687588351731,0.3093302991022011,0.9967518556697896,17127,128181,38241,39334659
0.65,5,0.17062454985507447,0.09326929026309067,0.11929185970190133,0.29950512932922435,0.9968976130455893,16583,122429,38785,39340411
0.3,5,0.17061693052687973,0.09326473682756875,0.11607532520556747,0.321846553978438,0.9965612966527498,17820,135701,37548,39327139
0.55,0,0.17055838585014882,0.0932297508351849,0.11818948513575243,0.30625993354814585,0.9967940472606636,16957,126516,38411,39336324
0.25,0,0.17050878153157714,0.09320010930612552,0.11538412439607715,0.3264882242572156,0.9964880632007226,18077,138591,37291,39324249
0.6,0,0.17047058943448787,0.09317728835329323,0.11857928130966001,0.3031173240987011,0.9968387728810193,16783,124751,38585,39338089
0.4,0,0.1704292962629083,0.09315261548472376,0.11679349972815029,0.315163993654906,0.996656120035963,17450,131959,37918,39330881
0.35,0,0.1703936657962909,0.09313132700474142,0.1163056022744333,0.31852333479051936,0.996604425834532,17636,133999,37732,39328841
0.65,0,0.1703245940051208,0.09309006037448612,0.11897318228080472,0.2996676780938508,0.9968864886561637,16592,122868,38776,39339972
0.7,5,0.1702984306037261,0.09307442998184412,0.11959436258141173,0.2956400809258843,0.9969464437937058,16369,120502,38999,39342338
0.3,0,0.17028613458416977,0.09306708431692473,0.11575297548120075,0.3219729807953697,0.9965491079709419,17827,136182,37541,39326658
0.7,0,0.17006301321943515,0.09293380835114858,0.11932405856858239,0.29587487358590026,0.9969361556340092,16382,120908,38986,39341932
